product_id,seller_id,product_name,category,subcategory,price,avg_rating,image_count,base_return_rate
PROD000001,SELL04376,Sports Product Quas,Sports,Outdoor,12988.17,3.9,3,0.12
PROD000002,SELL00296,Toys Product Molestiae,Toys,Educational,2424.02,4.7,7,0.14
PROD000003,SELL03041,Electronics Product Adipisci,Electronics,Smartphones,65733.85,5.0,1,0.18
PROD000004,SELL03445,Fashion Product Tempora,Fashion,Womens Clothing,695.82,4.2,5,0.22
PROD000005,SELL04058,Electronics Product Quod,Electronics,Cameras,24031.04,4.5,6,0.18
PROD000006,SELL01933,Fashion Product Consectetur,Fashion,Womens Clothing,6844.29,4.8,4,0.22
PROD000007,SELL01795,Fashion Product Amet,Fashion,Footwear,2684.31,4.0,5,0.22
PROD000008,SELL01252,Home & Kitchen Product Dicta,Home & Kitchen,Furniture,4298.44,4.7,3,0.1
PROD000009,SELL02234,Fashion Product Consequuntur,Fashion,Accessories,1951.0,3.4,3,0.22
PROD000010,SELL03595,Electronics Product Itaque,Electronics,Smartphones,38201.39,3.4,6,0.18
PROD000011,SELL02634,Home & Kitchen Product Iusto,Home & Kitchen,Cookware,20792.41,3.5,3,0.1
PROD000012,SELL04990,Toys Product Debitis,Toys,Outdoor Toys,1379.55,3.7,3,0.14
PROD000013,SELL04277,Sports Product Perspiciatis,Sports,Outdoor,6966.64,4.0,9,0.12
PROD000014,SELL04009,Electronics Product Voluptatum,Electronics,Smartphones,120616.35,3.5,1,0.18
PROD000015,SELL02627,Fashion Product Accusamus,Fashion,Accessories,7588.44,3.6,8,0.22
PROD000016,SELL02639,Electronics Product Asperiores,Electronics,Smartphones,75050.77,4.3,7,0.18
PROD000017,SELL03187,Grocery Product Distinctio,Grocery,Snacks,126.08,3.4,9,0.02
PROD000018,SELL02843,Beauty Product Reiciendis,Beauty,Makeup,385.19,3.1,4,0.08
PROD000019,SELL03547,Sports Product Ad,Sports,Team Sports,14681.89,4.5,2,0.12
PROD000020,SELL00510,Beauty Product Reiciendis,Beauty,Haircare,2279.67,3.6,5,0.08
PROD000021,SELL04126,Electronics Product Error,Electronics,Headphones,122748.07,3.9,8,0.18
PROD000022,SELL04174,Fashion Product Temporibus,Fashion,Mens Clothing,922.03,4.1,4,0.22
PROD000023,SELL04299,Books Product Nisi,Books,Comics,341.27,3.8,8,0.03
PROD000024,SELL04468,Sports Product In,Sports,Fitness,2291.56,4.9,3,0.12
PROD000025,SELL04842,Fashion Product Officiis,Fashion,Accessories,6728.82,4.0,7,0.22
