seller_id,total_items_sold,actual_return_rate,avg_seller_rating,fulfilment_type,avg_discount,total_return_cost,return_rate_pct,risk_score,risk_tier
SELL00001,57,0.38596491228070173,4.1,Platform Fulfilled,14.56140350877193,76528.66649999999,38.6,33.5,Medium Risk
SELL00002,11,0.6363636363636364,2.8,Seller Fulfilled,15.454545454545455,5916.205499999998,63.64,56.3,Medium Risk
SELL00003,63,0.4126984126984127,4.1,Seller Fulfilled,12.777777777777779,13758.024,41.27,33.8,Medium Risk
SELL00004,48,0.041666666666666664,4.8,Seller Fulfilled,14.895833333333334,136.44299999999998,4.17,11.2,Low Risk
SELL00005,57,0.49122807017543857,2.9,Seller Fulfilled,17.63157894736842,135381.5265,49.12,49.5,Medium Risk
SELL00006,24,0.625,2.0,Seller Fulfilled,16.041666666666668,57179.289,62.5,62.0,Medium Risk
SELL00007,13,0.38461538461538464,4.1,Platform Fulfilled,13.846153846153847,43753.107,38.46,33.0,Low Risk
SELL00008,16,0.6875,2.7,Platform Fulfilled,19.0625,3713.7135000000003,68.75,61.7,Medium Risk
SELL00009,49,0.40816326530612246,3.7,Seller Fulfilled,19.285714285714285,178816.27049999998,40.82,40.4,Medium Risk
SELL00010,55,0.4909090909090909,2.5,Seller Fulfilled,17.90909090909091,29394.437999999995,49.09,52.7,Medium Risk
SELL00011,40,0.15,4.1,Platform Fulfilled,15.875,3861.0389999999998,15.0,22.5,Low Risk
SELL00012,48,0.22916666666666666,4.2,Seller Fulfilled,18.645833333333332,6761.625,22.92,27.3,Low Risk
SELL00013,27,0.14814814814814814,3.5,Seller Fulfilled,15.74074074074074,2438.0355,14.81,26.8,Low Risk
SELL00014,29,0.3448275862068966,3.3,Platform Fulfilled,12.586206896551724,6552.6134999999995,34.48,36.3,Medium Risk
SELL00015,47,0.2553191489361702,3.0,Seller Fulfilled,18.085106382978722,73372.401,25.53,37.2,Medium Risk
SELL00016,71,0.22535211267605634,3.4,Platform Fulfilled,14.154929577464788,102933.09300000001,22.54,30.4,Low Risk
SELL00017,54,0.37037037037037035,2.8,Seller Fulfilled,17.87037037037037,133759.18349999998,37.04,44.4,Medium Risk
SELL00018,50,0.2,3.8,Seller Fulfilled,14.4,27844.4655,20.0,26.3,Low Risk
SELL00019,54,0.4444444444444444,2.3,Platform Fulfilled,17.685185185185187,79142.06999999999,44.44,51.7,Medium Risk
SELL00020,53,0.24528301886792453,3.8,Platform Fulfilled,16.88679245283019,59329.03200000001,24.53,30.0,Low Risk
SELL00022,63,0.09523809523809523,5.0,Seller Fulfilled,12.53968253968254,8300.2485,9.52,11.0,Low Risk
SELL00023,23,0.30434782608695654,3.3,Platform Fulfilled,20.0,5333.6175,30.43,38.6,Medium Risk
SELL00024,46,0.06521739130434782,4.5,Seller Fulfilled,11.41304347826087,18861.9435,6.52,12.6,Low Risk
SELL00025,44,0.3409090909090909,4.5,Seller Fulfilled,12.954545454545455,126498.999,34.09,27.3,Low Risk
SELL00026,49,0.30612244897959184,3.3,Platform Fulfilled,13.16326530612245,165516.9,30.61,34.7,Medium Risk
SELL00027,20,0.15,4.1,Platform Fulfilled,12.5,1213.578,15.0,20.5,Low Risk
SELL00028,20,0.6,3.3,Seller Fulfilled,22.75,151033.959,60.0,55.0,Medium Risk
SELL00029,36,0.25,4.0,Seller Fulfilled,10.555555555555555,65724.51,25.0,25.1,Low Risk
SELL00031,41,0.2682926829268293,4.1,Seller Fulfilled,18.048780487804876,89672.96549999999,26.83,29.6,Low Risk
SELL00032,26,0.3076923076923077,3.0,Platform Fulfilled,12.307692307692308,113653.13249999999,30.77,36.5,Medium Risk
SELL00033,69,0.13043478260869565,4.3,Platform Fulfilled,16.159420289855074,79164.0495,13.04,20.1,Low Risk
SELL00034,12,0.5833333333333334,3.2,Seller Fulfilled,17.083333333333332,76959.0765,58.33,51.6,Medium Risk
SELL00035,31,0.3225806451612903,3.4,Seller Fulfilled,15.32258064516129,69197.6835,32.26,36.0,Medium Risk
SELL00036,36,0.08333333333333333,4.7,Seller Fulfilled,14.027777777777779,5221.126499999999,8.33,13.5,Low Risk
SELL00037,60,0.15,4.7,Platform Fulfilled,16.583333333333332,48532.095,15.0,18.4,Low Risk
SELL00038,32,0.28125,4.4,Seller Fulfilled,19.6875,10364.182499999999,28.12,29.0,Low Risk
SELL00039,19,0.05263157894736842,5.0,Seller Fulfilled,17.36842105263158,1328.157,5.26,11.7,Low Risk
SELL00040,47,0.3617021276595745,4.2,Platform Fulfilled,17.872340425531913,132661.434,36.17,33.5,Medium Risk
SELL00041,16,0.0625,3.8,Platform Fulfilled,11.5625,8819.091,6.25,17.8,Low Risk
SELL00042,67,0.22388059701492538,4.0,Platform Fulfilled,11.567164179104477,24755.080499999996,22.39,24.4,Low Risk
SELL00043,14,0.0,4.1,Seller Fulfilled,11.785714285714286,0.0,0.0,12.6,Low Risk
SELL00044,15,0.2,3.9,Platform Fulfilled,16.333333333333332,2002.9244999999999,20.0,26.7,Low Risk
SELL00045,41,0.2682926829268293,3.6,Seller Fulfilled,14.390243902439025,9276.267,26.83,31.2,Low Risk
SELL00046,19,0.10526315789473684,4.6,Seller Fulfilled,20.0,953.1375,10.53,18.9,Low Risk
SELL00047,7,0.2857142857142857,3.9,Seller Fulfilled,15.714285714285714,1059.9285,28.57,30.7,Low Risk
SELL00048,16,0.3125,4.9,Seller Fulfilled,15.0,13142.4255,31.25,24.0,Low Risk
SELL00049,36,0.25,3.4,Seller Fulfilled,19.305555555555557,7675.825499999999,25.0,34.7,Medium Risk
SELL00050,17,0.35294117647058826,3.2,Platform Fulfilled,8.529411764705882,3652.2375,35.29,35.0,Medium Risk
SELL00052,18,0.2777777777777778,3.5,Seller Fulfilled,20.833333333333332,52573.432499999995,27.78,36.3,Medium Risk
SELL00053,50,0.34,3.1,Seller Fulfilled,10.1,107498.4105,34.0,36.1,Medium Risk
SELL00054,26,0.2692307692307692,4.4,Seller Fulfilled,20.384615384615383,4983.0225,26.92,28.8,Low Risk
SELL00055,50,0.1,5.0,Platform Fulfilled,19.5,641.457,10.0,15.3,Low Risk
SELL00056,37,0.40540540540540543,3.7,Seller Fulfilled,15.945945945945946,90719.99699999999,40.54,38.2,Medium Risk
SELL00057,45,0.26666666666666666,3.7,Platform Fulfilled,15.555555555555555,55778.089499999995,26.67,31.1,Low Risk
SELL00058,19,0.21052631578947367,3.1,Platform Fulfilled,22.63157894736842,3293.7419999999997,21.05,37.0,Medium Risk
SELL00059,37,0.16216216216216217,4.8,Platform Fulfilled,20.135135135135137,9065.469,16.22,20.3,Low Risk
SELL00060,17,0.35294117647058826,4.2,Seller Fulfilled,15.588235294117647,4379.001,35.29,31.7,Low Risk
