seller_id,seller_name,city,rating,total_products,fulfilment_type,join_date
SELL00001,Mitra LLC,Hyderabad,4.1,316,Platform Fulfilled,2023-01-31
SELL00002,Hari-Gour,Mumbai,2.8,17,Seller Fulfilled,2019-05-19
SELL00003,Reddy Inc,Surat,4.1,72,Seller Fulfilled,2020-04-14
SELL00004,Pau-Mukhopadhyay,Mumbai,4.8,127,Seller Fulfilled,2020-03-22
SELL00005,Sandhu-Rastogi,Mumbai,2.9,176,Seller Fulfilled,2022-04-08
SELL00006,Chawla-Shenoy,Ahmedabad,2.0,260,Seller Fulfilled,2022-08-24
SELL00007,Sami-Mander,Ahmedabad,4.1,170,Platform Fulfilled,2023-02-28
SELL00008,"Kade, Bhatnagar and Das",Pune,2.7,118,Platform Fulfilled,2022-06-21
SELL00009,"Tak, Saha and Narula",Mumbai,3.7,317,Seller Fulfilled,2021-07-08
SELL00010,Saran-Mukhopadhyay,Kolkata,2.5,261,Seller Fulfilled,2019-02-06
SELL00011,Koshy-Bava,Delhi,4.1,137,Platform Fulfilled,2022-02-02
SELL00012,Sethi-Rajan,Bangalore,4.2,153,Seller Fulfilled,2022-01-13
SELL00013,"Nagi, Agate and Wadhwa",Chennai,3.5,245,Seller Fulfilled,2023-03-20
SELL00014,"Nayar, Saraf and Chaudhry",Kolkata,3.3,53,Platform Fulfilled,2023-10-03
SELL00015,"Dasgupta, Solanki and Sharma",Kolkata,3.0,461,Seller Fulfilled,2023-11-22
SELL00016,Brar PLC,Bangalore,3.4,145,Platform Fulfilled,2021-05-22
SELL00017,"Dhar, Bhatti and Bhasin",Hyderabad,2.8,474,Seller Fulfilled,2021-01-20
SELL00018,Bhardwaj-Vora,Delhi,3.8,468,Seller Fulfilled,2019-07-12
SELL00019,"Devi, Goyal and Magar",Mumbai,2.3,76,Platform Fulfilled,2022-09-14
SELL00020,Natt-Gandhi,Surat,3.8,363,Platform Fulfilled,2021-11-17
SELL00021,Pandya Ltd,Pune,3.5,46,Platform Fulfilled,2019-09-21
SELL00022,Lanka Inc,Mumbai,5.0,426,Seller Fulfilled,2022-04-02
SELL00023,Barad-Master,Hyderabad,3.3,107,Platform Fulfilled,2022-08-30
SELL00024,"Thakkar, Ratta and Mitter",Chennai,4.5,348,Seller Fulfilled,2023-07-18
SELL00025,Malhotra Group,Surat,4.5,464,Seller Fulfilled,2023-04-05
SELL00026,"Sami, Chatterjee and Maharaj",Pune,3.3,27,Platform Fulfilled,2023-09-26
SELL00027,Char Group,Mumbai,4.1,53,Platform Fulfilled,2022-10-14
SELL00028,Sehgal and Sons,Pune,3.3,170,Seller Fulfilled,2020-04-19
SELL00029,Ahluwalia-Sawhney,Kolkata,4.0,114,Seller Fulfilled,2023-03-10
SELL00030,"Krish, Thaker and Nagi",Ahmedabad,4.9,305,Seller Fulfilled,2020-06-23
SELL00031,"Narayan, Ramakrishnan and Tak",Kolkata,4.1,25,Seller Fulfilled,2020-08-07
SELL00032,"Yadav, Maharaj and Ramanathan",Bangalore,3.0,131,Platform Fulfilled,2021-06-13
SELL00033,Chawla-Munshi,Mumbai,4.3,287,Platform Fulfilled,2022-09-26
SELL00034,"Nagy, Malhotra and Ramakrishnan",Mumbai,3.2,41,Seller Fulfilled,2023-05-31
SELL00035,Kaur Inc,Ahmedabad,3.4,369,Seller Fulfilled,2022-04-24
SELL00036,Warrior and Sons,Mumbai,4.7,92,Seller Fulfilled,2021-07-30
SELL00037,Das-Parsa,Delhi,4.7,119,Platform Fulfilled,2019-11-12
SELL00038,"Dave, Oak and Oza",Pune,4.4,446,Seller Fulfilled,2021-09-13
SELL00039,Rajan-Panchal,Pune,5.0,461,Seller Fulfilled,2022-09-30
SELL00040,Prabhakar Inc,Bangalore,4.2,435,Platform Fulfilled,2020-04-22
SELL00041,Venkatesh-Rout,Ahmedabad,3.8,365,Platform Fulfilled,2022-03-30
SELL00042,Chhabra-Trivedi,Ahmedabad,4.0,152,Platform Fulfilled,2023-04-06
SELL00043,Sastry LLC,Delhi,4.1,101,Seller Fulfilled,2021-02-18
SELL00044,"Madan, Shukla and Dasgupta",Mumbai,3.9,35,Platform Fulfilled,2020-06-11
SELL00045,"Date, Virk and Krishnan",Chennai,3.6,464,Seller Fulfilled,2020-03-21
SELL00046,Nadkarni-Roy,Ahmedabad,4.6,409,Seller Fulfilled,2019-09-13
SELL00047,Bora-Balakrishnan,Kolkata,3.9,402,Seller Fulfilled,2019-10-15
SELL00048,"Tailor, Oommen and Chhabra",Pune,4.9,484,Seller Fulfilled,2021-11-17
SELL00049,Mukherjee-Walla,Ahmedabad,3.4,245,Seller Fulfilled,2023-06-29
SELL00050,Randhawa Inc,Surat,3.2,78,Platform Fulfilled,2022-08-03
SELL00051,"Mistry, Jhaveri and Pingle",Pune,3.7,452,Seller Fulfilled,2021-12-06
SELL00052,"Bhalla, Shetty and Manda",Mumbai,3.5,161,Seller Fulfilled,2019-12-29
SELL00053,"Krish, Nagi and Bajwa",Delhi,3.1,128,Seller Fulfilled,2022-02-03
SELL00054,"Ben, Jhaveri and Gour",Surat,4.4,423,Seller Fulfilled,2022-12-31
SELL00055,"Palla, Mohan and Dhar",Hyderabad,5.0,168,Platform Fulfilled,2019-03-30
SELL00056,Kala Group,Delhi,3.7,226,Seller Fulfilled,2020-07-25
SELL00057,"Chandra, Modi and Anand",Delhi,3.7,133,Platform Fulfilled,2023-02-19
SELL00058,Devan-Acharya,Surat,3.1,98,Platform Fulfilled,2020-01-20
SELL00059,Ganguly-Badami,Ahmedabad,4.8,280,Platform Fulfilled,2021-02-22
SELL00060,Merchant-Thakur,Pune,4.2,260,Seller Fulfilled,2023-08-12
SELL00061,"Uppal, Suri and Agarwal",Chennai,1.7,412,Seller Fulfilled,2020-10-22
SELL00062,"Pingle, Bassi and Mangal",Hyderabad,3.9,205,Platform Fulfilled,2023-01-23
SELL00063,Khare-Bassi,Hyderabad,4.0,290,Platform Fulfilled,2019-12-26
SELL00064,Tara Group,Ahmedabad,3.1,310,Platform Fulfilled,2021-08-08
SELL00065,Viswanathan-Prakash,Kolkata,4.3,149,Platform Fulfilled,2019-08-18
SELL00066,Pillay-Uppal,Surat,3.8,154,Platform Fulfilled,2021-04-19
SELL00067,Sharaf-Mann,Kolkata,3.9,463,Platform Fulfilled,2022-10-23
SELL00068,Sachdeva-Lanka,Hyderabad,3.3,278,Platform Fulfilled,2021-06-20
SELL00069,Sarraf Group,Surat,4.0,313,Seller Fulfilled,2019-08-11
SELL00070,Raghavan Ltd,Hyderabad,4.9,492,Seller Fulfilled,2020-09-13
SELL00071,"Date, Kapoor and Saran",Delhi,3.9,293,Platform Fulfilled,2023-01-19
SELL00072,"Lala, Goda and Cheema",Ahmedabad,4.6,463,Platform Fulfilled,2023-11-17
SELL00073,"Sen, Setty and Garde",Mumbai,2.7,27,Platform Fulfilled,2023-02-23
SELL00074,Minhas-Hayer,Pune,3.9,61,Platform Fulfilled,2022-08-19
SELL00075,"Dash, Kothari and Sarna",Hyderabad,3.9,317,Seller Fulfilled,2020-08-12
SELL00076,Keer-Din,Ahmedabad,4.9,201,Seller Fulfilled,2021-05-16
SELL00077,"Sahota, Modi and Prashad",Surat,4.1,123,Platform Fulfilled,2023-07-15
SELL00078,Sama-Randhawa,Surat,3.1,441,Platform Fulfilled,2020-11-15
SELL00079,"Majumdar, Shere and Bains",Pune,4.6,145,Seller Fulfilled,2022-01-28
SELL00080,Barad-Sengupta,Delhi,3.7,269,Platform Fulfilled,2019-05-24
SELL00081,Khanna LLC,Chennai,4.0,367,Seller Fulfilled,2020-12-14
SELL00082,Tak-Raju,Pune,3.5,42,Platform Fulfilled,2021-07-31
SELL00083,"Bakshi, Swamy and Srinivas",Mumbai,3.7,494,Seller Fulfilled,2019-12-20
SELL00084,Ben-Garde,Bangalore,4.3,317,Seller Fulfilled,2022-02-26
SELL00085,Kari-Shroff,Hyderabad,4.2,380,Seller Fulfilled,2021-11-10
SELL00086,Gade Ltd,Chennai,4.0,132,Platform Fulfilled,2023-02-03
SELL00087,Ramesh Group,Delhi,3.0,89,Platform Fulfilled,2023-03-27
SELL00088,Bajwa Ltd,Mumbai,3.6,303,Platform Fulfilled,2020-05-17
SELL00089,Randhawa-Rajagopalan,Ahmedabad,4.4,335,Seller Fulfilled,2020-12-06
SELL00090,Bumb-Mahajan,Surat,3.8,414,Platform Fulfilled,2020-03-14
SELL00091,Morar-Mandal,Ahmedabad,2.7,60,Seller Fulfilled,2021-04-13
SELL00092,Anand Group,Ahmedabad,4.2,195,Seller Fulfilled,2020-07-31
SELL00093,"Mane, Palla and Khurana",Chennai,4.5,323,Seller Fulfilled,2021-01-16
SELL00094,Mangal-Bir,Pune,3.9,367,Platform Fulfilled,2019-01-16
SELL00095,Kannan-Dhawan,Bangalore,3.4,319,Platform Fulfilled,2021-03-27
SELL00096,Badal-Srivastava,Chennai,4.6,80,Platform Fulfilled,2021-04-15
SELL00097,Sarraf-Khosla,Ahmedabad,3.2,199,Seller Fulfilled,2022-12-16
SELL00098,Mangal-Bose,Chennai,2.6,28,Seller Fulfilled,2022-06-19
SELL00099,Din-Kurian,Mumbai,4.6,139,Platform Fulfilled,2020-05-16
SELL00100,Naidu LLC,Pune,3.1,443,Platform Fulfilled,2022-06-24
SELL00101,"Chokshi, Mannan and Ahluwalia",Pune,5.0,216,Seller Fulfilled,2022-11-14
SELL00102,"Gola, Master and Gour",Mumbai,3.8,89,Seller Fulfilled,2021-04-06
SELL00103,Zacharia-Bhasin,Pune,2.8,100,Seller Fulfilled,2023-09-01
SELL00104,"Gera, Gola and Vohra",Bangalore,3.3,161,Seller Fulfilled,2022-08-08
SELL00105,Sodhi PLC,Mumbai,3.7,338,Seller Fulfilled,2022-02-21
SELL00106,"Hora, Rajagopal and Devi",Hyderabad,3.0,312,Platform Fulfilled,2023-11-03
SELL00107,"Mani, Konda and Loyal",Mumbai,3.4,429,Platform Fulfilled,2021-01-17
SELL00108,"Mitter, Rao and Chacko",Bangalore,3.8,266,Platform Fulfilled,2021-02-10
SELL00109,Sehgal-Suresh,Mumbai,4.3,420,Seller Fulfilled,2023-09-26
SELL00110,Ganesan Inc,Chennai,4.0,406,Platform Fulfilled,2022-09-18
SELL00111,Aurora Ltd,Bangalore,3.5,41,Platform Fulfilled,2023-01-05
SELL00112,Kant-Chadha,Hyderabad,4.0,207,Platform Fulfilled,2020-09-04
SELL00113,Sharma and Sons,Bangalore,3.5,45,Platform Fulfilled,2022-06-23
SELL00114,Zacharia Ltd,Chennai,3.5,200,Seller Fulfilled,2022-03-01
SELL00115,Nagy Inc,Bangalore,4.0,220,Seller Fulfilled,2019-02-14
SELL00116,Mander PLC,Hyderabad,4.2,172,Seller Fulfilled,2020-08-29
SELL00117,Kar Inc,Ahmedabad,3.8,122,Seller Fulfilled,2022-05-01
SELL00118,"Kapur, Ghose and Yohannan",Hyderabad,4.0,337,Seller Fulfilled,2020-08-21
SELL00119,Malhotra Ltd,Surat,3.0,251,Seller Fulfilled,2023-05-17
SELL00120,Ravel-Thakur,Bangalore,3.0,10,Seller Fulfilled,2022-09-22
SELL00121,"Andra, Ahluwalia and Sachdev",Ahmedabad,3.2,469,Platform Fulfilled,2019-07-03
SELL00122,"Borra, Nagy and Kanda",Hyderabad,4.1,159,Platform Fulfilled,2022-04-04
SELL00123,"Kashyap, Gole and Reddy",Surat,4.6,30,Platform Fulfilled,2019-12-02
SELL00124,"Kanda, Goswami and Jaggi",Surat,2.8,499,Seller Fulfilled,2023-11-06
SELL00125,Barad PLC,Delhi,3.9,333,Seller Fulfilled,2021-01-21
SELL00126,Roy Inc,Bangalore,4.0,487,Platform Fulfilled,2020-04-24
SELL00127,"Mital, Desai and Hayer",Mumbai,2.8,188,Seller Fulfilled,2023-11-13
SELL00128,More and Sons,Kolkata,3.6,92,Platform Fulfilled,2020-04-06
SELL00129,"Mander, Walia and Oommen",Kolkata,2.4,38,Seller Fulfilled,2023-01-04
SELL00130,"Baral, Lanka and Bedi",Kolkata,4.4,160,Seller Fulfilled,2021-08-21
SELL00131,"Dutta, Yadav and Comar",Delhi,4.1,231,Platform Fulfilled,2023-08-25
SELL00132,Krish-Ahuja,Pune,3.1,328,Seller Fulfilled,2021-07-29
SELL00133,"Sandhu, Rana and Manne",Kolkata,3.8,475,Platform Fulfilled,2021-09-21
SELL00134,Sharaf-Pandit,Hyderabad,3.9,314,Seller Fulfilled,2022-07-29
SELL00135,Ramakrishnan LLC,Mumbai,4.8,271,Seller Fulfilled,2021-05-31
SELL00136,Radhakrishnan Group,Bangalore,3.7,441,Seller Fulfilled,2023-03-02
SELL00137,"Murthy, Sharaf and Bhatti",Ahmedabad,4.0,100,Seller Fulfilled,2021-12-06
SELL00138,Nori PLC,Kolkata,3.5,465,Platform Fulfilled,2021-12-23
SELL00139,Sarma-Rajagopalan,Mumbai,4.4,195,Platform Fulfilled,2021-12-24
SELL00140,Narang and Sons,Ahmedabad,4.5,50,Seller Fulfilled,2020-09-01
SELL00141,Buch-Sharma,Chennai,3.7,269,Seller Fulfilled,2020-07-09
SELL00142,"Bal, Sur and Kadakia",Hyderabad,4.7,473,Platform Fulfilled,2023-02-07
SELL00143,Pandey PLC,Chennai,3.9,82,Seller Fulfilled,2021-06-26
SELL00144,"Joshi, Gade and Bala",Mumbai,2.7,327,Platform Fulfilled,2020-10-12
SELL00145,Tripathi-Kota,Surat,3.8,279,Platform Fulfilled,2021-02-22
SELL00146,"Prasad, Prakash and Desai",Delhi,2.7,103,Seller Fulfilled,2019-12-28
SELL00147,"Kapoor, Sethi and Sule",Chennai,3.1,249,Seller Fulfilled,2022-05-09
SELL00148,Hegde-Deshpande,Kolkata,3.6,140,Seller Fulfilled,2019-11-04
SELL00149,"Amble, Majumdar and Brar",Hyderabad,3.7,161,Seller Fulfilled,2022-01-14
SELL00150,Rana-Dar,Mumbai,3.3,132,Seller Fulfilled,2021-09-30
SELL00151,Prasad-Tara,Delhi,3.6,474,Seller Fulfilled,2022-05-18
SELL00152,"Samra, Loke and Gulati",Mumbai,2.3,350,Seller Fulfilled,2019-06-15
SELL00153,Contractor PLC,Mumbai,4.6,15,Seller Fulfilled,2022-07-11
SELL00154,"Bala, Balan and Iyengar",Kolkata,2.9,78,Seller Fulfilled,2020-02-05
SELL00155,"Dhar, Madan and Din",Chennai,4.1,98,Platform Fulfilled,2023-04-24
SELL00156,Kannan Inc,Mumbai,4.4,379,Seller Fulfilled,2023-11-01
SELL00157,"Parmer, Dada and Bhardwaj",Hyderabad,3.9,415,Seller Fulfilled,2019-02-17
SELL00158,Basak-Narain,Ahmedabad,4.2,401,Platform Fulfilled,2023-02-02
SELL00159,Walla-Nadkarni,Bangalore,3.6,293,Seller Fulfilled,2021-05-18
SELL00160,Vala-Nagi,Surat,3.6,87,Platform Fulfilled,2022-05-01
SELL00161,Wagle-Grewal,Bangalore,3.6,31,Seller Fulfilled,2023-03-14
SELL00162,Arora PLC,Chennai,4.6,368,Platform Fulfilled,2022-04-22
SELL00163,Kohli Inc,Hyderabad,3.2,260,Seller Fulfilled,2023-09-05
SELL00164,Palan Inc,Surat,3.4,362,Seller Fulfilled,2019-11-05
SELL00165,"Dubey, Bawa and Chopra",Hyderabad,4.5,161,Seller Fulfilled,2021-08-12
SELL00166,Srivastava-Palla,Chennai,3.8,398,Seller Fulfilled,2021-08-12
SELL00167,"Biswas, Anand and More",Pune,5.0,66,Seller Fulfilled,2021-06-28
SELL00168,"Dewan, Jhaveri and Mallick",Hyderabad,4.1,106,Platform Fulfilled,2023-08-16
SELL00169,Cheema Group,Ahmedabad,4.5,223,Seller Fulfilled,2023-08-04
SELL00170,Butala-Parmar,Mumbai,3.9,163,Platform Fulfilled,2019-07-01
SELL00171,Walla Ltd,Mumbai,4.1,356,Seller Fulfilled,2023-03-19
SELL00172,Krish Ltd,Pune,3.9,407,Seller Fulfilled,2020-05-10
SELL00173,"Bhagat, Vig and Kata",Delhi,4.5,20,Platform Fulfilled,2023-04-25
SELL00174,Chokshi-Mahajan,Surat,4.1,176,Seller Fulfilled,2023-05-24
SELL00175,"Solanki, Kata and Padmanabhan",Mumbai,3.5,70,Platform Fulfilled,2022-04-28
SELL00176,Chadha Inc,Hyderabad,4.7,485,Seller Fulfilled,2021-12-28
SELL00177,Mitter-Chakrabarti,Kolkata,4.0,384,Seller Fulfilled,2020-01-16
SELL00178,Chanda-Gill,Pune,5.0,430,Platform Fulfilled,2019-11-05
SELL00179,"Pandit, Agate and Tailor",Pune,3.2,340,Platform Fulfilled,2023-09-01
SELL00180,"Lal, Natarajan and Pandit",Mumbai,4.0,266,Platform Fulfilled,2019-07-12
SELL00181,"Bera, Bhalla and Borra",Delhi,3.8,15,Seller Fulfilled,2020-07-13
SELL00182,Munshi-Rajan,Chennai,3.9,223,Seller Fulfilled,2019-06-01
SELL00183,Om-Parmer,Pune,5.0,65,Seller Fulfilled,2022-12-14
SELL00184,"Raju, Dhar and Jani",Bangalore,2.5,312,Platform Fulfilled,2021-10-28
SELL00185,Sem Ltd,Hyderabad,3.3,232,Platform Fulfilled,2020-05-08
SELL00186,"Mander, Karnik and Parmer",Bangalore,3.6,469,Platform Fulfilled,2023-04-27
SELL00187,Loyal Inc,Mumbai,2.9,430,Platform Fulfilled,2020-10-11
SELL00188,Mani LLC,Mumbai,3.3,307,Platform Fulfilled,2020-08-18
SELL00189,Naik-Babu,Surat,4.3,467,Seller Fulfilled,2023-10-25
SELL00190,"Chauhan, Dhar and Bansal",Pune,4.4,337,Seller Fulfilled,2020-12-31
SELL00191,"Ramaswamy, Gade and Bhatnagar",Ahmedabad,2.9,443,Seller Fulfilled,2019-01-25
SELL00192,"Nagarajan, Dora and Sen",Surat,4.9,88,Platform Fulfilled,2022-09-22
SELL00193,Bali-Ghose,Hyderabad,4.9,285,Platform Fulfilled,2020-04-22
SELL00194,"Butala, De and Bal",Kolkata,4.2,244,Platform Fulfilled,2023-05-10
SELL00195,"Ram, Naik and Warrior",Delhi,3.8,430,Platform Fulfilled,2021-03-09
SELL00196,Sharma-Dyal,Mumbai,4.6,133,Seller Fulfilled,2021-05-26
SELL00197,"Natarajan, Sarkar and Borde",Kolkata,4.9,278,Seller Fulfilled,2020-07-21
SELL00198,"Nagy, Balakrishnan and Deo",Ahmedabad,3.9,158,Platform Fulfilled,2023-03-01
SELL00199,Subramanian and Sons,Chennai,3.7,294,Seller Fulfilled,2021-10-28
SELL00200,Sule-More,Hyderabad,3.9,341,Seller Fulfilled,2023-02-26
SELL00201,Ramachandran Inc,Kolkata,4.6,393,Seller Fulfilled,2023-02-28
SELL00202,"Savant, Sunder and Gulati",Mumbai,5.0,399,Seller Fulfilled,2022-06-19
SELL00203,"Gaba, Bhavsar and Bal",Pune,3.9,177,Platform Fulfilled,2020-01-14
SELL00204,Loke and Sons,Pune,3.5,451,Seller Fulfilled,2021-05-11
SELL00205,"Sura, Bhatti and Varma",Pune,4.3,131,Seller Fulfilled,2022-03-26
SELL00206,"Sidhu, Bajwa and Prakash",Chennai,3.9,404,Seller Fulfilled,2022-08-10
